species,property,feature_type,spearman,r2,mae,spearman_ci_lo,spearman_ci_hi
e_coli,net_charge,aac,0.856422362993332,0.7572636027185395,0.7218549341622561,0.8300070977170411,0.877844196329585
e_coli,charge_density,aac,0.9982703915656542,0.9984931487357944,0.004012058909837865,0.9973827642527102,0.9987254282428458
e_coli,pI,aac,0.8707916117479245,0.5562260115649342,0.6120956049904233,0.8465189319803417,0.8905989743214677
e_coli,mean_hydrophobicity,aac,0.9999972335421733,0.9999999999065416,7.457356543992464e-06,0.9999911449410609,0.9999978092503772
e_coli,hydrophilic_fraction,aac,0.9994607193167362,0.9999999997437629,1.4972597147794704e-06,0.9992520510652516,0.9995305220782067
e_coli,helix_propensity,aac,0.9996061788346101,0.9999999999022877,1.1806088921557912e-06,0.9994061334801149,0.9996776714329489
e_coli,hydrophobic_moment,aac,0.5047600320851114,0.21170311119154883,0.361232518878991,0.4360805843585283,0.5648867896313583
s_aureus,net_charge,aac,0.860774395267232,0.7361224707069962,0.7197227970860164,0.8344186570017692,0.87951000511999
s_aureus,charge_density,aac,0.9975225336968861,0.9982336636654298,0.004099125618986371,0.9964769256335185,0.9981085854245069
s_aureus,pI,aac,0.8736664795025979,0.5067096114806022,0.6382161829755455,0.8470191392224096,0.8950244829708297
s_aureus,mean_hydrophobicity,aac,0.9999965435924415,0.9999999998845486,7.383100517026182e-06,0.9999901886552262,0.9999970596755117
s_aureus,hydrophilic_fraction,aac,0.9993310965913541,0.9999999997053429,1.5755739765610488e-06,0.9990591058524219,0.9994286526869102
s_aureus,helix_propensity,aac,0.9995327840348475,0.9999999998657925,1.2802788303598547e-06,0.9992390917668098,0.999624229709227
s_aureus,hydrophobic_moment,aac,0.5513746815902028,0.33042391208216937,0.36268972289958107,0.4829712452512744,0.6148283354167309
