species,property,coefficient,coefficient_label,n_seeds,spearman_mean,spearman_std,spearman_mean_pm_std,r2_mean,r2_std,r2_mean_pm_std,mae_mean,mae_std,mae_mean_pm_std,spearman_ci_lo_mean,spearman_ci_lo_std,spearman_ci_lo_mean_pm_std,spearman_ci_hi_mean,spearman_ci_hi_std,spearman_ci_hi_mean_pm_std,spearman_ci_range
e_coli,net_charge,0,B~0,10,0.9474294403613939,0.00917295520752893,0.947 ± 0.009,0.9162425508196843,0.013393738703514485,0.916 ± 0.013,0.4508852983847282,0.03285404012040268,0.451 ± 0.033,0.937028764285109,0.011071469849015747,0.937 ± 0.011,0.9554724810165716,0.00769945488041025,0.955 ± 0.008,"[0.937, 0.955]"
e_coli,net_charge,1,B1,10,0.8792378868681316,0.021477905505755002,0.879 ± 0.021,0.7980708311187361,0.04122342343111041,0.798 ± 0.041,0.7020044779538256,0.07754898293587816,0.702 ± 0.078,0.8579907928989601,0.024189628314769774,0.858 ± 0.024,0.8969141939612305,0.019206459657387005,0.897 ± 0.019,"[0.858, 0.897]"
e_coli,net_charge,2,B2,10,0.8448737441142888,0.025641108897225616,0.845 ± 0.026,0.7390576868914022,0.04700191472650328,0.739 ± 0.047,0.7940360322751724,0.08030374329615864,0.794 ± 0.080,0.8184219803655818,0.029326876350689035,0.818 ± 0.029,0.8671925758372719,0.022655090974556914,0.867 ± 0.023,"[0.818, 0.867]"
e_coli,net_charge,3,B3,10,0.7842830450275706,0.03039290247845076,0.784 ± 0.030,0.6481002558888356,0.05928412918496518,0.648 ± 0.059,0.9151995465426543,0.07719317966160993,0.915 ± 0.077,0.7502376099373252,0.03408544004947851,0.750 ± 0.034,0.8142486387719432,0.027243107234301466,0.814 ± 0.027,"[0.750, 0.814]"
e_coli,charge_density,0,B~0,10,0.9651820615218369,0.006350900058906143,0.965 ± 0.006,0.9365129446195809,0.009853725838777989,0.937 ± 0.010,0.02578777327851406,0.002045086770727426,0.026 ± 0.002,0.9577469301448662,0.007875663138865884,0.958 ± 0.008,0.9704322384985952,0.005241334350342615,0.970 ± 0.005,"[0.958, 0.970]"
e_coli,charge_density,1,B1,10,0.8843270339936815,0.0222056144393462,0.884 ± 0.022,0.7989356535478299,0.035565394807117415,0.799 ± 0.036,0.04613020696631778,0.004473332041922767,0.046 ± 0.004,0.8630755394471192,0.025710041758834776,0.863 ± 0.026,0.9022474133346936,0.019249593906119283,0.902 ± 0.019,"[0.863, 0.902]"
e_coli,charge_density,2,B2,10,0.8462382320625788,0.023336930909031276,0.846 ± 0.023,0.7437236607935869,0.04797116552808182,0.744 ± 0.048,0.05223904552901062,0.0051837968844574605,0.052 ± 0.005,0.8177741790384709,0.02619681888185497,0.818 ± 0.026,0.869971514789863,0.020554659759245395,0.870 ± 0.021,"[0.818, 0.870]"
e_coli,charge_density,3,B3,10,0.8091461106254322,0.02238535142712205,0.809 ± 0.022,0.6782894518011698,0.03361794712297733,0.678 ± 0.034,0.058237114168263805,0.003680642564208737,0.058 ± 0.004,0.7777135063098453,0.025910588459533226,0.778 ± 0.026,0.8369118674658236,0.019802372344345957,0.837 ± 0.020,"[0.778, 0.837]"
e_coli,pI,0,B~0,10,0.8685836158658325,0.01857937990798815,0.869 ± 0.019,0.7132263520025395,0.03768686760314904,0.713 ± 0.038,0.5093387970514865,0.026403500673701254,0.509 ± 0.026,0.8443161781599013,0.02183972869858909,0.844 ± 0.022,0.889303239322144,0.016290802822927854,0.889 ± 0.016,"[0.844, 0.889]"
e_coli,pI,1,B1,10,0.7917207193438682,0.03936038380389274,0.792 ± 0.039,0.566852035007595,0.04779855383419016,0.567 ± 0.048,0.6259089324845669,0.03659667336010517,0.626 ± 0.037,0.7579779442912346,0.044834101933381,0.758 ± 0.045,0.8206732815245894,0.03410264712516889,0.821 ± 0.034,"[0.758, 0.821]"
