property_bucket,band,mse_diff_abs_mean,mse_diff_abs_std,n_samples
bottom_30,0,1.1092416846140194,1.149667668707834,206
bottom_30,1,0.3244016723186584,0.3490391770150683,206
bottom_30,2,0.31806856934310807,0.3248231841766262,206
bottom_30,3,0.3230694168750916,0.3444448051149007,206
bottom_30,4,0.31995312925256564,0.32294989495943327,206
bottom_30,5,0.32809774610019976,0.33631200204384826,206
bottom_30,6,0.3250125720370039,0.355887353637147,206
bottom_30,7,0.458885637603195,0.6155553916343238,206
middle_40,0,1.0406328569442151,1.061577707255676,275
middle_40,1,0.3060520485605697,0.2758441694223046,275
middle_40,2,0.2968214104585035,0.2816563942775231,275
middle_40,3,0.29520051489700105,0.28032752985083625,275
middle_40,4,0.28971937942769926,0.2594966841873418,275
middle_40,5,0.29820981341635333,0.27181843322149135,275
middle_40,6,0.3074546426112568,0.2998785443489186,275
middle_40,7,0.48543414674388136,0.5721778706567147,275
top_30,0,1.1276025805132543,1.1310860527358726,206
top_30,1,0.33290083532668063,0.3866244098488543,206
top_30,2,0.32567211328046985,0.3659732806093148,206
top_30,3,0.3207065317008996,0.33863077106757167,206
top_30,4,0.3146975517584995,0.32961640518317487,206
top_30,5,0.31819508683383213,0.34164010793935184,206
top_30,6,0.314196342704597,0.35412471082232877,206
top_30,7,0.40240609035064095,0.49552703935960196,206
