property_bucket,band,mse_diff_abs_mean,mse_diff_abs_std,n_samples
bottom_30,0,1.2053747315378833,1.245887907250225,206
bottom_30,1,0.3222033716196604,0.3572681268584716,206
bottom_30,2,0.31377629162326454,0.3475206540665697,206
bottom_30,3,0.31297135920564834,0.33387389616787577,206
bottom_30,4,0.3121717705066721,0.33019862012599566,206
bottom_30,5,0.31889740200881284,0.32260104262744965,206
bottom_30,6,0.31119563547534546,0.3321234528432731,206
bottom_30,7,0.40421308581252025,0.5128855279790387,206
middle_40,0,1.2460527625679831,1.1119090436031003,275
middle_40,1,0.3066525872222761,0.3340821899634989,275
middle_40,2,0.30195728031607477,0.3220074424938421,275
middle_40,3,0.3019323296015886,0.3300842551525475,275
middle_40,4,0.29573486473867877,0.30717336296181647,275
middle_40,5,0.29993342294607056,0.3182929874972147,275
middle_40,6,0.30814777692135314,0.3263068366759817,275
middle_40,7,0.48820632337744924,0.5869467532018667,275
top_30,0,0.7572439314217388,0.8662510713075782,206
top_30,1,0.33429744606466283,0.31014183176090443,206
top_30,2,0.3231082540545265,0.2939221148315847,206
top_30,3,0.32181794352684,0.28564045146270844,206
top_30,4,0.3144485296280854,0.26110896581513066,206
top_30,5,0.32509449587341205,0.2987220499978695,206
top_30,6,0.3270879786095734,0.3458155105069908,206
top_30,7,0.4533779209071839,0.5817959550943267,206
