property_bucket,band,mse_diff_abs_mean,mse_diff_abs_std,n_samples
bottom_30,0,1.0147351798223565,1.0276999783801375,190
bottom_30,1,0.3090542670221987,0.30563919716482535,190
bottom_30,2,0.3052570686206807,0.3118192477193765,190
bottom_30,3,0.3074464188665473,0.2925337874249767,190
bottom_30,4,0.2966337173957863,0.3029438435343886,190
bottom_30,5,0.30236824242572496,0.29656493768671516,190
bottom_30,6,0.31422335541230334,0.3137504737059985,190
bottom_30,7,0.3844044635760817,0.5314429479798723,190
middle_40,0,1.0707751723747698,1.0035665245756231,255
middle_40,1,0.2319327313373428,0.21747260586239459,255
middle_40,2,0.24083849325185042,0.20723888249827366,255
middle_40,3,0.24377540356797303,0.2300933790033654,255
middle_40,4,0.24461892965411472,0.23042352113208292,255
middle_40,5,0.24890859699826853,0.23026681916904276,255
middle_40,6,0.23603252453229315,0.19777831501666007,255
middle_40,7,0.24847967032477392,0.1783945791554008,255
top_30,0,1.111141751621128,1.0697886524312095,190
top_30,1,0.3129461136936168,0.35370225060038785,190
top_30,2,0.31706093033980065,0.3852614563708614,190
top_30,3,0.32152544217824075,0.3849441317050786,190
top_30,4,0.3273504543272231,0.39827750892671526,190
top_30,5,0.3100934149776482,0.3811373700888213,190
top_30,6,0.3182649020804741,0.37896688160006564,190
top_30,7,0.3873648587069971,0.4661271167592109,190
